run_id,stage_id,model_id,model_role,dataset_role,spike_def_id,target_rate,g_condition,g,intervention_id,gain_target,b_tot,delta_b_tot,chi,achieved_rate_max_abs_err,n_sequences,config_hash,code_version
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,g1,1.0,MLP_GLOBAL,MLP,0.5926550217037844,0.2626381658437626,103.46496916666224,1.1187558716178181e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,gstar,0.7,MLP_GLOBAL,MLP,0.5991622818131679,0.26631090971425153,99.46927514873087,9.62815861187025e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,gstar,0.7,ATTN_GLOBAL,ATTN,0.573989460537939,0.23884370526059273,106.58682370967941,9.810114426118418e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,gstar,0.7,MLP_BAND_EARLY,MLP,0.5855235649005436,0.25576429126097605,92.78023609663161,1.0333279705907779e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,gstar,0.7,MLP_BAND_MID,MLP,0.599101720458988,0.2630078935195547,104.41709407556111,9.366717898739118e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,1e-05,gstar,0.7,MLP_BAND_LATE,MLP,0.5949442824022138,0.2622840475656271,104.76206697382163,1.1872630813352411e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,g1,1.0,MLP_GLOBAL,MLP,0.8228799847720567,0.260216132967632,165.14600321184636,1.7093787096063856e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,gstar,0.7,MLP_GLOBAL,MLP,0.8331173095534357,0.27142955896585097,160.92291041270497,1.784091224663574e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,gstar,0.7,ATTN_GLOBAL,ATTN,0.8025597359504205,0.24162116610193296,163.81646241498126,2.52582442901628e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,gstar,0.7,MLP_BAND_EARLY,MLP,0.8165140787232755,0.2539962479791824,143.31258615995011,2.1174103387959554e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,gstar,0.7,MLP_BAND_MID,MLP,0.8290482868470714,0.26333558406482105,171.9523001965214,2.621030453650487e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,gstar,0.7,MLP_BAND_LATE,MLP,0.8246285496077206,0.2604492119697285,171.20936395600802,1.934909797945706e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,g1,1.0,MLP_GLOBAL,MLP,1.1022203670978024,0.22624326463349842,256.1665903272242,3.664838630044014e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,gstar,1.3,MLP_GLOBAL,MLP,1.0886247284714718,0.2096091080765411,242.20262546091485,4.652396144624098e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,gstar,1.3,ATTN_GLOBAL,ATTN,1.1089993836038627,0.23503076573702597,257.93110186504236,3.8566556503594966e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,gstar,1.3,MLP_BAND_EARLY,MLP,1.0997652260998527,0.21966409272748166,273.23990356034193,4.846976488798594e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,gstar,1.3,MLP_BAND_MID,MLP,1.090830986068667,0.21802373003012465,224.68718584299094,8.402396456216711e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,gstar,1.3,MLP_BAND_LATE,MLP,1.0976560180912442,0.2231667233367336,249.5786326939783,3.664838630044014e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,g1,1.0,MLP_GLOBAL,MLP,1.3951823843749764,0.15847617049023044,381.0535709152406,8.982265699848099e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,gstar,1.3,MLP_GLOBAL,MLP,1.3871088992798184,0.14493467246019454,338.81152839203264,1.1230953157761688e-06,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,gstar,1.3,ATTN_GLOBAL,ATTN,1.3997448826909265,0.1640531481924825,397.7381984349407,9.532859343069146e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,gstar,1.3,MLP_BAND_EARLY,MLP,1.3940853235107635,0.15233537634733252,384.5926463791385,1.073108721862413e-06,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,gstar,1.3,MLP_BAND_MID,MLP,1.3894777846863786,0.1538666107319704,333.9425178892441,9.59729679688039e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,8e-05,gstar,1.3,MLP_BAND_LATE,MLP,1.3928705832380086,0.15627037681505018,367.8474048447005,8.427717399254266e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,1e-05,g1,1.0,MLP_GLOBAL,MLP,0.6268649892558331,0.29533505036804486,120.88348303699358,3.650702246065193e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,1e-05,gstar,0.85,MLP_GLOBAL,MLP,0.6292352815373805,0.2998686260731417,119.84447902170702,4.2950767841774647e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,1e-05,gstar,0.85,ATTN_GLOBAL,ATTN,0.6177232259151995,0.28728604483672754,119.20379737128727,4.340573416220101e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,1e-05,gstar,0.85,MLP_BAND_EARLY,MLP,0.6232735281971276,0.2959665947781398,117.99387965223562,4.3610172840784326e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,1e-05,gstar,0.85,MLP_BAND_MID,MLP,0.6293626534057211,0.296850525419347,120.85369986079593,5.151471209939959e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,1e-05,gstar,0.85,MLP_BAND_LATE,MLP,0.6270682424704537,0.29802516202821194,122.14878946217105,3.650702246065193e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,2e-05,g1,1.0,MLP_GLOBAL,MLP,0.8534620861516553,0.3047080811676752,201.0213093866073,6.205913351072412e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,2e-05,gstar,1.0,MLP_GLOBAL,MLP,0.8534620861516553,0.3047080811676752,201.0213093866073,6.205913351072412e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,2e-05,gstar,1.0,ATTN_GLOBAL,ATTN,0.8534620861516554,0.30129049483802073,201.0213093866073,6.205913351072412e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,2e-05,gstar,1.0,MLP_BAND_EARLY,MLP,0.8534620861516554,0.3061320754716982,201.0213093866073,6.205913351072412e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,2e-05,gstar,1.0,MLP_BAND_MID,MLP,0.8534620861516554,0.3037646849412603,201.0213093866073,6.205913351072412e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,2e-05,gstar,1.0,MLP_BAND_LATE,MLP,0.8534620861516554,0.30285688857244575,201.0213093866073,6.205913351072412e-08,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,4e-05,g1,1.0,MLP_GLOBAL,MLP,1.113118308561671,0.26741037825935554,330.9339128950775,2.052585462587251e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,4e-05,gstar,1.3,MLP_GLOBAL,MLP,1.1028045316160577,0.25262854103240273,329.98135476892713,2.535866366171514e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,4e-05,gstar,1.3,ATTN_GLOBAL,ATTN,1.117450720370412,0.2731507495898047,326.8493892261779,2.0643277028396898e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,4e-05,gstar,1.3,MLP_BAND_EARLY,MLP,1.1117051465413517,0.2621228631751005,365.952290533556,1.930054137418388e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,4e-05,gstar,1.3,MLP_BAND_MID,MLP,1.1053919638135317,0.2615923846387542,288.16034863176884,2.6224647529909234e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,4e-05,gstar,1.3,MLP_BAND_LATE,MLP,1.107662702364037,0.26091674964477907,321.3743000768513,2.052585462587251e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,8e-05,g1,1.0,MLP_GLOBAL,MLP,1.3859094910527177,0.1966921932332526,516.2724323514334,4.439461333341499e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,8e-05,gstar,1.3,MLP_GLOBAL,MLP,1.3776898381502438,0.18228138160801777,491.6910762074533,6.067940810998396e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,8e-05,gstar,1.3,ATTN_GLOBAL,ATTN,1.3883156959618472,0.20123357698362,520.957769251452,4.360348285000631e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,8e-05,gstar,1.3,MLP_BAND_EARLY,MLP,1.3830771104502007,0.18835819605470472,546.980146239785,4.2650316681944753e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,8e-05,gstar,1.3,MLP_BAND_MID,MLP,1.3791092486112464,0.19089367508040156,450.0562803210273,4.344092747542134e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_TWO_SIDED_ABS,8e-05,gstar,1.3,MLP_BAND_LATE,MLP,1.3815261822197253,0.1919254538057693,501.2963196623913,4.439461333341499e-07,64,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
